"last_name, first_name","player_id","year","pa","k_percent","bb_percent","on_base_percent","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Feltner, Ryan","663372","2024","692",19.9,7.5,".324",".256",".418",".320",".322",".320",".162",71.5,21.6,13.8,10.7,34.5,26.6,"7.3","18","88.1","11.9",33.1,6.5,36.8,"76.695048857","93.803345297",23.8,48.1
"Gibson, Kyle","502043","2024","722",20.9,9.4,".324",".266",".439",".323",".342",".341",".173",71.9,25.2,15.1,11.5,37.5,28.5,"7.6","18","88.2","12",34.3,9.2,39.1,"76.558654534","94.071640304",25.9,42.9
"Wheeler, Zack","554430","2024","787",28.5,6.6,".253",".200",".338",".256",".264",".261",".138",71.2,20.5,8.4,6.2,26.2,19.2,"7.1","21","86.5","13.4",32.6,8.3,33.7,"74.937421526","93.056862028",27.5,51.2
"Bassitt, Chris","605135","2024","758",22.2,9.2,".352",".259",".404",".331",".328",".343",".146",71.2,19.6,14.4,11.6,30.6,24.6,"7.1","14","87.8","14.3",36.3,7.5,37.1,"75.64419492","94.077816493",21.6,45
"Quintana, Jose","500779","2024","717",18.8,8.8,".314",".259",".413",".312",".329",".336",".153",71.9,26.2,15.9,12.6,36.6,28.9,"7.4","25","88","10.7",32.9,6.7,38.2,"76.44604848","93.89600374",21.8,43.1
"Crawford, Kutter","676710","2024","759",23.1,6.7,".284",".226",".420",".304",".306",".288",".194",72.3,29.9,12.9,9.8,30.1,23.1,"7.4","24","88.4","19.8",33.4,9.9,36.3,"77.710617066","93.646279363",25.3,52
"Houck, Tanner","656557","2024","743",20.7,6.5,".296",".259",".391",".276",".314",".323",".131",71.6,22.5,16,12.6,36.8,29,"7.4","17","89.4","3.8",30.2,5.7,41.8,"78.489312385","94.430703969",22.5,46.8
"Singer, Brady","663903","2024","762",22.3,7.1,".315",".271",".437",".316",".334",".332",".167",71.7,25.2,16.3,12.6,36.3,28.2,"7.4","28","88.9","8.9",35.6,8,41.7,"77.275001577","94.43000817",25.1,44.7
"Pfaadt, Brandon","694297","2024","760",24.3,5.5,".302",".249",".406",".312",".303",".295",".156",72.1,26.1,13.9,10.5,33.2,25.2,"7.4","20","89.4","14.1",33,8.1,39.4,"78.684914866","94.224942476",25.4,49.3
"Gausman, Kevin","592332","2024","756",21.4,7.4,".296",".261",".463",".300",".338",".319",".202",71.9,25.5,15,11.6,32.1,24.7,"7.3","14","90.2","16.1",35.5,9.7,42.4,"79.496181832","94.740771683",23.4,49.9
"Burnes, Corbin","669203","2024","784",23.1,6.1,".274",".232",".371",".273",".284",".280",".139",71.6,22.4,13,9.8,32.7,24.6,"7.5","52","87.5","11",26.8,6.7,31.6,"76.693803832","93.206229159",28.6,48.8
"Sánchez, Cristopher","650911","2024","754",20.3,5.8,".301",".259",".368",".290",".294",".302",".109",72,25.7,13.7,10.3,30.7,23,"7.5","10","87.4","2.4",30.2,5.4,34.5,"75.18960646","93.870693047",24.2,51.6
"Kirby, George","669923","2024","778",23,3,".272",".239",".403",".287",".289",".269",".165",71.1,19.2,11.3,8.9,31.6,24.7,"7.1","36","89","14.8",30.5,8.1,36.3,"78.774593274","93.753520357",23.9,53.4
"Nola, Aaron","605400","2024","820",24,6.1,".295",".247",".397",".310",".303",".297",".150",71.7,24.5,14.6,11,32.8,24.8,"7.5","31","88.5","12",35.4,7.2,38.2,"77.265343569","94.038174053",25.1,48.6
"Glasnow, Tyler","607192","2024","522",32.2,6.7,".244",".196",".327",".258",".254",".250",".131",71.5,22.9,11.4,8.1,30.9,21.9,"7.2","16","89","9.2",32.2,8.2,39.9,"78.048691987","94.120276763",30.9,48.4
"Jones, Jared","683003","2024","504",26.2,7.7,".298",".237",".413",".314",".314",".305",".176",71.7,22.4,12.7,9.2,33.4,24.1,"7.3","19","89.6","14.5",36.9,9.8,44.5,"79.019910366","94.534128685",30.2,51.6
"Pepiot, Ryan","686752","2024","539",26.3,8.9,".292",".220",".380",".290",".299",".299",".161",71.7,24,11.6,8.3,31.7,22.6,"7.2","26","89.3","19.1",31.4,9.1,37.2,"79.441531647","93.814038824",29.9,48
"Lugo, Seth","607625","2024","836",21.7,5.7,".281",".245",".396",".278",".302",".297",".151",72.1,26.2,15.2,12,35.6,28.2,"7.3","23","88.5","10.7",32.8,8,39,"77.300560339","93.994017356",22.4,46.7
"Crochet, Garrett","676979","2024","595",35.1,5.5,".271",".206",".347",".280",".265",".257",".141",71.4,20.6,11,7.5,27,18.4,"7.2","20","88.3","11.1",34.5,9.2,38.8,"76.536271919","94.146127471",33,53.2
